video_id,user_id,username,hashtag
7643528717192531208,7030857513901966341,catazvv,fyppppppppppppppppppppppp
7645086742051147028,7357514724986913798,yani.saenz3,paratiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii
7645086742051147028,7357514724986913798,yani.saenz3,abelardodelaespriella
7645086742051147028,7357514724986913798,yani.saenz3,firmesporlapatria
7647645311459970321,6706513237448819718,jqnlw,eleccionespresidenciales
7647645311459970321,6706513237448819718,jqnlw,pactohistorico
7647645311459970321,6706513237448819718,jqnlw,colombia
7647645311459970321,6706513237448819718,jqnlw,uribeparaco
7647645311459970321,6706513237448819718,jqnlw,fyp
7649590777697291527,7235839393326597126,liliana.19896,viral
7649590777697291527,7235839393326597126,liliana.19896,firmesporlapatria
7649590777697291527,7235839393326597126,liliana.19896,firmesporlapatria🇨🇴
7649590777697291527,7235839393326597126,liliana.19896,firmesporlapatria🇨🇴
7649590777697291527,7235839393326597126,liliana.19896,abelardopresidente2026
7644955192982654226,7042730715453522950,dianacfuentes4,fyp
7644955192982654226,7042730715453522950,dianacfuentes4,abelardodelaespriella
7644955192982654226,7042730715453522950,dianacfuentes4,presidente
7644955192982654226,7042730715453522950,dianacfuentes4,colombia
7644955192982654226,7042730715453522950,dianacfuentes4,foryoupage
7644730221614353671,6799076584411120646,javipenac,firmesporlapatria
7644730221614353671,6799076584411120646,javipenac,abelardodelaespriella
7644730221614353671,6799076584411120646,javipenac,tigre
7644730221614353671,6799076584411120646,javipenac,fyp
7652950509279513864,7647135195733656583,colombia.pensante,ivancepedapresidente
7652855399959350548,7237180364303942661,diegocaro87,iváncepeda
7652855399959350548,7237180364303942661,diegocaro87,manuelcepedavargas
7652855399959350548,7237180364303942661,diegocaro87,colombia
7652855399959350548,7237180364303942661,diegocaro87,políticacolombiana
7652855399959350548,7237180364303942661,diegocaro87,debatepolítico
7649539341416467725,7039480490786260014,alex_izquierdo_t,cepedaguerrillero
7649539341416467725,7039480490786260014,alex_izquierdo_t,cepedadefensordeasesinos
7649539341416467725,7039480490786260014,alex_izquierdo_t,firmeporlapatria
7649539341416467725,7039480490786260014,alex_izquierdo_t,jesussantrich
7649539341416467725,7039480490786260014,alex_izquierdo_t,guerrillacolombiana
7649535024299052309,6812947132770845702,mariacmv_1016,ivancepeda
7649535024299052309,6812947132770845702,mariacmv_1016,elecciones2026
7649535024299052309,6812947132770845702,mariacmv_1016,melajuegoporlavida
7649535024299052309,6812947132770845702,mariacmv_1016,fajardo
7649535024299052309,6812947132770845702,mariacmv_1016,claudialopez
7616090455121349896,7579470690304558100,elpaisalizcano,petro
7616090455121349896,7579470690304558100,elpaisalizcano,colombia
7616090455121349896,7579470690304558100,elpaisalizcano,politica
7616090455121349896,7579470690304558100,elpaisalizcano,narco
7616090455121349896,7579470690304558100,elpaisalizcano,milei
7616090455121349896,7579470690304558100,elpaisalizcano,westcol
7642888201568275720,7564633405524165650,andrespenaranda19,petro
7642888201568275720,7564633405524165650,andrespenaranda19,petropresidente
7642888201568275720,7564633405524165650,andrespenaranda19,gustavopetro
7642888201568275720,7564633405524165650,andrespenaranda19,ivánpresidente
7642888201568275720,7564633405524165650,andrespenaranda19,pactohistorico
7639755201657785607,7359227844151002117,mr.x.noticias,iváncepeda
7639755201657785607,7359227844151002117,mr.x.noticias,eleccionescolombia2026
7639755201657785607,7359227844151002117,mr.x.noticias,pactohistórico
7639755201657785607,7359227844151002117,mr.x.noticias,políticacolombiana
7651427713990823189,6984600072906490886,ivancepedacast,ivancepedapresidente
7651427713990823189,6984600072906490886,ivancepedacast,colombia🇨🇴
7651427713990823189,6984600072906490886,ivancepedacast,melajuegoporlavida
7651427713990823189,6984600072906490886,ivancepedacast,parati
7651427713990823189,6984600072906490886,ivancepedacast,elecciones2026
7622380688574074132,6958848317459825670,luigiparraf,nomaspetrismo
7622380688574074132,6958848317459825670,luigiparraf,nomassocialismo
7652810707343265045,7116190547514098693,jestebanpacheco,sologanamossitodosvotamos
7652810707343265045,7116190547514098693,jestebanpacheco,ganacolombiaconabelardo
7652810707343265045,7116190547514098693,jestebanpacheco,mivotoporeltigre
7652810707343265045,7116190547514098693,jestebanpacheco,tendencias
7652810707343265045,7116190547514098693,jestebanpacheco,fyp
7649754281138015508,254825979003695104,lferchaaa,fyp
7649754281138015508,254825979003695104,lferchaaa,elecciones
7649754281138015508,254825979003695104,lferchaaa,ivancepeda
7649754281138015508,254825979003695104,lferchaaa,fyppppppppppppppppppppppp
7649754281138015508,254825979003695104,lferchaaa,cepeda
7652841155813592340,7140001337983714310,juanchop197,ivancepedapresidente
7652841155813592340,7140001337983714310,juanchop197,2026
7652841155813592340,7140001337983714310,juanchop197,🇨🇴
7652841155813592340,7140001337983714310,juanchop197,petrosky
7652841998889536786,7275652472562025478,perdomojulieth,solocepedacarajo
7652841998889536786,7275652472562025478,perdomojulieth,paratiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii
7652841998889536786,7275652472562025478,perdomojulieth,pyfツ
